Object Category,Object Type,,
point,159.864353,59.62701468,0
point,160.2062023,59.96886403,0
point,161.146288,60.26798222,0
point,161.7872556,60.48163807,0
point,162.2145673,61.07987444,0
point,163.154653,61.12260561,0
point,163.1973842,61.84903549,0
point,163.7956205,62.19088484,0
point,163.7956205,62.49000303,0
point,163.2828465,62.57546537,0
point,163.0264595,62.23361601,0
point,162.898266,61.72084198,0
point,162.2145673,61.76357315,0
point,161.402675,61.20806795,0
point,160.6762452,60.82348742,0
point,160.2489335,60.56710041,0
point,159.6506971,60.82348742,0
point,159.3943101,61.03714327,0
point,159.2233854,61.67811081,0
point,156.9159023,61.67811081,0
point,156.2322035,61.07987444,0
point,155.7621607,60.90894976,0
point,154.9075373,60.56710041,0
point,155.2066555,60.09705754,0
point,155.2066555,59.24243415,0
point,153.6256022,59.07150948,0
point,153.0273658,58.68692895,0
point,151.1471944,58.68692895,0
point,150.5916892,59.11424065,0
point,150.4207645,59.54155234,0
point,149.9939963,59.61695501,0
point,149.1393729,59.65968618,0
point,148.9684482,59.18964332,0
point,147.6865131,59.14691215,0
point,146.8318897,59.4887615,0
point,145.635417,59.18964332,0
point,144.4389442,59.31783683,0
point,143.1997403,59.27510566,0
point,142.1314611,59.23237449,0
point,141.9605364,58.76233162,0
point,141.3623,58.63413812,0
point,140.849526,58.29228876,0
point,140.2512896,57.8222459,0
point,139.6530533,57.26674069,0
point,138.9693546,56.75396666,0
point,138.2429247,56.36938614,0
point,137.6874195,56.15573029,0
point,137.1746454,55.8566121,0
point,136.4482156,55.64295626,0
point,136.1918285,55.08745105,0
point,136.9609896,54.83106404,0
point,137.5164948,54.66013936,0
point,137.9438065,54.31829,0
point,138.4993117,54.61740819,0
point,139.0120857,54.7456017,0
point,139.9094403,54.48921468,0
point,140.6358702,53.84824714,0
point,141.4050312,53.93370948,0
point,141.7468806,54.01917182,0
point,142.1314611,54.7456017,0
point,142.7296975,54.53194585,0
point,142.9433533,53.2072796,0
point,143.1570092,52.73723674,0
point,143.114278,51.49803282,0
point,143.627052,51.1134523,0
point,144.0116325,50.47248476,0
point,144.0543637,49.91697955,0
point,144.3962131,49.48966786,0
point,144.9089871,49.06235617,0
point,144.7380624,48.5923133,0
point,143.7979767,48.80596915,0
point,142.857891,49.019625,0
point,142.8151598,48.63504447,0
point,142.7296975,47.4813029,0
point,143.114278,47.31037822,0
point,143.3279338,46.9257977,0
point,143.5843209,46.45575483,0
point,143.4133962,46.15663665,0
point,142.8151598,46.54121717,0
point,142.5160416,46.9257977,0
point,142.0459988,46.41302366,0
point,142.1314611,45.72932495,0
point,142.1741923,45.47293794,0
point,142.9433533,45.13108858,0
point,143.370665,44.70377689,0
point,144.1825572,44.61831455,0
point,145.2081053,44.74650806,0
point,145.2935676,43.76369116,0
point,145.7636105,43.55003531,0
point,145.8063417,43.16545479,0
point,144.8662559,43.2936483,0
point,143.9689014,43.16545479,0
point,143.7979767,42.65268075,0
point,143.370665,42.18263789,0
point,142.3451169,42.05444438,0
point,141.7468806,42.35356257,0
point,141.1486442,42.3108314,0
point,141.0204507,41.7553262,0
point,141.8323429,41.3280145,0
point,141.7896117,40.34519761,0
point,142.1314611,39.83242357,0
point,141.9178052,39.61876773,0
point,141.7468806,38.55048849,0
point,140.9777195,38.42229498,0
point,140.7640637,38.08044563,0
point,140.849526,37.43947809,0
point,140.849526,35.85842482,0
point,140.5076767,35.47384429,0
point,140.2940208,34.96107026,0
point,139.2684727,35.0465326,0
point,139.0120857,34.87560792,0
point,138.328387,34.4910274,0
point,136.9182584,34.6192209,0
point,136.2772909,34.32010272,0
point,136.1063662,33.72186635,0
point,134.4398506,33.72186635,0
point,134.1407324,33.25182348,0
point,133.1151843,33.33728582,0
point,132.7306038,32.82451179,0
point,131.8332493,32.78178062,0
point,131.5768622,31.84169489,0
point,131.2350129,31.07253384,0
point,130.252196,30.77341566,0
point,129.8676155,31.07253384,0
point,129.6966908,31.71350138,0
point,130.0385402,32.18354425,0
point,129.5684973,32.61085594,0
point,129.1839168,32.9527053,0
point,129.2266479,33.46547933,0
point,129.739422,33.76459752,0
point,130.0812713,34.27737155,0
point,130.508583,34.44829623,0
point,130.76497,34.79014558,0
point,131.2777441,35.21745728,0
point,132.0469051,35.6020378,0
point,132.3887545,35.94388716,0
point,132.9869908,36.20027417,0
point,133.7134207,36.37119885,0
point,134.9526246,36.07208066,0
point,135.807248,36.37119885,0
point,136.063635,36.71304821,0
point,136.1063662,37.26855341,0
point,136.2772909,37.73859627,0
point,136.7900649,37.86678978,0
point,137.1319143,37.73859627,0
point,138.1147312,37.73859627,0
point,138.4565805,38.2513703,0
point,138.8838922,38.46502615,0
point,139.3112039,38.678682,0
point,139.3112039,39.40511188,0
point,139.5675909,39.96061708,0
point,139.3539351,40.08881059,0
point,139.3966663,40.94343398,0
point,139.7812468,41.37074567,0
point,139.3539351,41.96898204,0
point,139.4393974,42.48175608,0
point,139.6103221,43.12272362,0
point,140.2512896,43.59276648,0
point,141.0631819,44.06280934,0
point,141.4477624,44.70377689,0
point,141.4904936,45.47293794,0
point,141.4904936,46.07117431,0
point,141.4904936,46.84033536,0
point,141.7896117,47.22491588,0
point,141.7896117,47.86588342,0
point,141.9178052,48.67777564,0
point,141.7896117,50.00244189,0
point,141.9605364,50.81433411,0
point,141.7896117,51.71168867,0
point,141.1486442,51.6689575,0
point,140.4649455,51.24164581,0
point,140.2940208,49.06235617,0
point,140.0376338,48.84870032,0
point,139.6530533,48.16500161,0
point,139.0975481,47.43857173,0
point,138.7129675,47.0539912,0
point,138.2429247,46.45575483,0
point,137.6446883,45.90024963,0
point,137.1746454,45.64386261,0
point,136.6191402,45.00289507,0
point,135.8499792,44.31919636,0
point,135.3372052,43.93461584,0
point,134.4825818,43.4218418,0
point,134.1834636,43.07999245,0
point,133.4997649,42.82360543,0
point,132.516948,42.73814309,0
point,132.1323675,42.90906777,0
point,131.6195934,43.20818596,0
point,131.3632064,42.69541192,0
point,130.8931635,42.60994958,0
point,130.1240025,42.35356257,0
point,129.8676155,42.05444438,0
point,129.7821531,41.07162749,0
point,129.3975726,40.72977813,0
point,128.9275297,40.2170041,0
point,128.0729064,40.04607942,0
point,127.6883258,39.83242357,0
point,127.3464765,39.40511188,0
point,127.987444,39.19145603,0
point,128.2010999,38.76414434,0
point,128.5002181,38.59321966,0
point,128.8847986,37.95225212,0
point,129.1411856,37.6958651,0
point,129.4830349,37.09762873,0
point,129.739422,36.49939236,0
point,129.3975726,36.02934949,0
point,129.3548414,35.47384429,0
point,129.0129921,35.0465326,0
point,128.2865622,35.00380143,0
point,127.9019817,34.44829623,0
point,126.9191648,34.4910274,0
point,126.6200466,34.19190921,0
point,126.1072726,34.40556506,0
point,125.6799609,34.83287675,0
point,125.6799609,35.43111312,0
point,126.0645414,35.81569365,0
point,126.2354661,36.20027417,0
point,125.5944985,36.75577937,0
point,125.7654232,37.26855341,0
point,126.4063908,37.43947809,0
point,125.5944985,37.61040276,0
point,124.6116816,37.82405861,0
point,124.440757,38.33683264,0
point,124.5262193,38.76414434,0
point,124.9107998,39.40511188,0
point,124.6544128,39.53330539,0
point,123.6288647,39.70423006,0
point,122.8597037,39.49057422,0
point,122.432392,39.14872486,0
point,121.6632309,39.06326252,0
point,121.1931881,38.89233785,0
point,121.0222634,39.02053135,0
point,121.0222634,39.49057422,0
point,121.1931881,39.96061708,0
point,121.5350374,40.55885345,0
point,121.1504569,40.7725093,0
point,120.2958335,40.2170041,0
point,119.654866,39.70423006,0
point,119.2702855,39.36238071,0
point,118.4583932,39.10599369,0
point,118.1592751,38.76414434,0
point,118.6720491,38.46502615,0
point,118.9284361,37.95225212,0
point,119.4839413,37.82405861,0
point,119.7403283,37.90952095,0
point,119.911253,38.20863913,0
point,120.2531024,38.20863913,0
point,121.4923063,38.16590797,0
point,122.176005,37.82405861,0
point,122.9024349,37.43947809,0
